"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"GGB22635_SGB63107"	"Sex"	"M"	"SexM"	-2.25536818746242	-0.197565677367378	0.373932781695419	3.89841018992865e-05	0.0459232720373595	7.79666840383721e-05	0.0613950229835642	NA	"abundance"	50	27
"GGB46159_SGB63927"	"Sex"	"M"	"SexM"	2.14162589154764	-0.197565677367378	0.513872312461145	9.1661663742082e-05	0.0539887199440863	0.000183314925623564	0.0613950229835642	NA	"abundance"	50	42
"GGB22635_SGB63107"	"Sex"	"M"	"SexM"	-3.89049514584125	0	1.03445938350723	0.000169305168994095	0.0565080284092129	7.79666840383721e-05	0.0613950229835642	NA	"prevalence"	50	27
"GGB27876_SGB40310"	"Sex"	"M"	"SexM"	-3.29316202901668	0	0.883009146661884	0.000191877855379331	0.0565080284092129	0.000383718893647276	0.0613950229835642	NA	"prevalence"	50	27
"GGB14001_SGB21428"	"Genotype"	"MUT"	"GenotypeMUT"	2.17846958764011	0.518121331076144	0.400327424430384	0.000279645666723338	0.0612066226630666	0.000279645666723338	0.0613950229835642	NA	"abundance"	50	44
"GGB30045_SGB42945"	"Sex"	"M"	"SexM"	-1.65463995570044	-0.197565677367378	0.322115006137472	0.000311748502528353	0.0612066226630666	0.000311748502528353	0.0613950229835642	NA	"abundance"	50	33
"Caniella_muris"	"Genotype"	"MUT"	"GenotypeMUT"	2.74243913284058	0.518121331076144	0.603770363150108	0.00106110488111688	0.0648146887080187	0.00106110488111688	0.0879778306225503	NA	"abundance"	50	35
"GGB30046_SGB42947"	"Sex"	"M"	"SexM"	-1.32217943837723	-0.197565677367378	0.24181276024254	0.000698088388321416	0.0648146887080187	0.00139568944924492	0.0879778306225503	NA	"abundance"	50	25
"GGB70852_SGB95305"	"Sex"	"M"	"SexM"	2.97860671581295	-0.197565677367378	0.793694308849075	0.000644512308646705	0.0648146887080187	0.00128860922117741	0.0879778306225503	NA	"abundance"	50	28
"Acutalibacter_muris"	"Sequencing_Depth"	"Sequencing_Depth"	"Sequencing_Depth"	1.81730686109471	0	0.545245448511795	0.000859128009265178	0.0648146887080187	0.00171751791759405	0.0879778306225503	NA	"prevalence"	50	11
"Adlercreutzia_caecimuris"	"Sex"	"M"	"SexM"	-5.18533239980436	0	1.60565036731391	0.00124038070433473	0.0648146887080187	0.00247922286437777	0.0879778306225503	NA	"prevalence"	50	32
