"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Parvibacter caecicola"	"Sex"	"M"	"SexM"	-5.19581675844347	-0.355814468385251	0.607911643237588	3.64125543050875e-08	7.31164090446157e-05	3.64125543050875e-08	6.04812527007503e-05	NA	"abundance"	30	27
"Thomasclavelia cocleata"	"Genotype"	"MUT"	"GenotypeMUT"	4.474979607986	0.280951100524579	0.418627534607173	2.86163448492971e-08	7.31164090446157e-05	5.72326888796988e-08	6.2855623924607e-05	NA	"abundance"	30	19
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-5.02366968686646	0.280951100524579	0.627146460737028	3.47311543968942e-08	7.31164090446157e-05	3.47311543968942e-08	6.04812527007503e-05	NA	"abundance"	30	24
"Choladocola sp910574965"	"Genotype"	"MUT"	"GenotypeMUT"	4.62845204162989	0.280951100524579	0.569813997222651	7.56840745630427e-08	0.000113980216291942	7.56840745630427e-08	6.2855623924607e-05	NA	"abundance"	30	27
"D16-63 sp910588095"	"Sex"	"M"	"SexM"	-4.14791920736515	-0.355814468385251	0.529732762796659	2.30379029853012e-07	0.000203763218660669	2.30379029853012e-07	0.00011236743233578	NA	"abundance"	30	27
"Lawsonibacter sp910589085"	"Genotype"	"MUT"	"GenotypeMUT"	4.83653249706837	0.280951100524579	0.619167506614859	2.35789259228625e-07	0.000203763218660669	2.35789259228625e-07	0.00011236743233578	NA	"abundance"	30	25
"MGYG000329984"	"Sex"	"M"	"SexM"	-3.53094349246392	-0.355814468385251	0.443897941141151	2.36776648510073e-07	0.000203763218660669	2.36776648510073e-07	0.00011236743233578	NA	"abundance"	30	27
"Adlercreutzia sp910585575"	"Sex"	"M"	"SexM"	-2.20681336147384	-0.355814468385251	0.293507952990145	2.35997373587704e-06	0.0015796090872137	4.71994190227805e-06	0.00156796469993677	NA	"abundance"	30	26
"Muribaculum gordoncarteri"	"Sex"	"M"	"SexM"	-5.90849518331864	-0.355814468385251	0.915630196595508	2.12517698272574e-06	0.0015796090872137	2.12517698272574e-06	0.000882479742076864	NA	"abundance"	30	29
"MGYG000323047"	"Genotype"	"MUT"	"GenotypeMUT"	2.70621200742965	0.280951100524579	0.40561868808837	3.29598067994041e-06	0.0019854987615961	3.29598067994041e-06	0.00121658309097356	NA	"abundance"	30	28
"Acutalibacter sp910588935"	"Sex"	"M"	"SexM"	-4.81523511109357	-0.355814468385251	0.715806276735199	5.66765373166689e-06	0.00310381327996012	5.66765373166689e-06	0.0017116314269634	NA	"abundance"	30	22
"MGYG000326314"	"Genotype"	"MUT"	"GenotypeMUT"	-2.81770771867247	0.280951100524579	0.500382060534433	6.25804928056084e-06	0.00314154073884154	6.25804928056084e-06	0.00173243664250193	NA	"abundance"	30	22
"MD308 sp010206225"	"Genotype"	"MUT"	"GenotypeMUT"	2.74257476934006	0.280951100524579	0.441696887753998	6.89438863121783e-06	0.00319475362418894	6.89438863121783e-06	0.00176178146406966	NA	"abundance"	30	30
