feature	Acutalibacter_caecimuris	Acutalibacter_intestini	Acutalibacter_muris	Acutalibacter_sp_1XD8_33	Adlercreutzia_SGB42953	Adlercreutzia_aquisgranensis	Adlercreutzia_caecimuris	Adlercreutzia_mucosicola	Adlercreutzia_muris	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_muris	Alistipes_timonensis	Anaerostipes_hominis_ex_Lee_et_al_2021	Bacillota_unclassified_SGB43543	Bacillota_unclassified_SGB43546	Bacillota_unclassified_SGB43549	Bacillota_unclassified_SGB43550	Bacillota_unclassified_SGB63211	Bacteroidales_bacterium	Bacteroides_caecimuris	Bifidobacterium_pseudolongum	Blautia_pseudococcoides	Caniella_muris	Clostridia_bacterium	Clostridiaceae_bacterium	Clostridiales_bacterium	Coriobacteriaceae_bacterium	Cutibacterium_acnes	Duncaniella_dubosii	Duncaniella_freteri	Duncaniella_muricolitica	Duncaniella_muris	Enterococcus_gallinarum	Escherichia_coli	Eubacteriaceae_bacterium	Faecalibaculum_rodentium	Flintibacter_SGB43538	GGB115370_SGB161393	GGB14001_SGB21428	GGB141797_SGB41693	GGB143828_SGB43507	GGB1503_SGB2082	GGB1690_SGB40190	GGB18828_SGB27767	GGB22635_SGB33556	GGB22635_SGB63107	GGB24132_SGB35935	GGB24146_SGB35950	GGB24148_SGB35952	GGB25041_SGB36960	GGB27478_SGB39772	GGB27480_SGB39776	GGB27482_SGB39778	GGB27770_SGB40184	GGB27849_SGB40283	GGB27860_SGB40294	GGB27861_SGB40295	GGB27866_SGB40300	GGB27876_SGB40310	GGB27884_SGB40318	GGB27885_SGB40319	GGB27894_SGB40329	GGB27919_SGB40357	GGB27929_SGB40368	GGB28310_SGB40880	GGB28317_SGB40889	GGB28380_SGB40960	GGB28382_SGB40962	GGB28394_SGB40975	GGB28419_SGB41002	GGB28421_SGB41004	GGB28439_SGB41022	GGB28456_SGB41039	GGB28765_SGB41414	GGB28769_SGB41421	GGB28778_SGB41431	GGB28803_SGB41457	GGB28869_SGB41543	GGB28870_SGB41546	GGB28898_SGB41580	GGB28901_SGB41592	GGB28904_SGB41597	GGB28925_SGB41622	GGB28927_SGB41625	GGB28946_SGB41652	GGB28949_SGB41655	GGB28949_SGB41656	GGB28956_SGB41665	GGB28990_SGB41704	GGB29531_SGB42317	GGB30045_SGB42945	GGB30046_SGB42947	GGB30294_SGB43258	GGB30296_SGB43260	GGB30298_SGB43262	GGB30454_SGB43514	GGB30454_SGB43516	GGB30455_SGB43519	GGB30460_SGB43527	GGB30461_SGB102216	GGB30461_SGB43529	GGB30461_SGB63204	GGB30461_SGB63208	GGB30461_SGB63209	GGB30468_SGB43552	GGB30475_SGB63182	GGB30667_SGB43809	GGB30861_SGB44083	GGB31108_SGB44379	GGB3171_SGB4185	GGB32371_SGB41694	GGB42322_SGB59489	GGB42570_SGB59765	GGB42598_SGB59794	GGB42646_SGB59844	GGB45514_SGB63186	GGB45515_SGB63187	GGB45656_SGB63370	GGB46159_SGB63927	GGB46162_SGB63930	GGB70518_SGB94950	GGB70852_SGB95305	GGB73359_SGB46611	GGB74395_SGB43523	GGB75057_SGB102223	GGB75074_SGB102167	GGB75725_SGB102612	GGB75726_SGB102611	GGB75879_SGB103683	GGB9439_SGB42949	Hominisplanchenecus_murintestinalis	Lachnospiraceae_bacterium	Lachnospiraceae_bacterium_A2	Lachnospiraceae_unclassified_SGB41405	Lachnospiraceae_unclassified_SGB7275	Lactobacillus_intestinalis	Lactobacillus_johnsonii	Lepagella_muris	Ligilactobacillus_murinus	Limosilactobacillus_reuteri	Muribaculaceae_bacterium	Muribaculum_gordoncarteri	Muribaculum_intestinale	Muricaecibacterium_torontonense	Neglectibacter_caecimuris	Neglectibacter_sp_X4	Oscillibacter_SGB43496	Oscillibacter_SGB43499	Oscillibacter_SGB43502	Oscillibacter_SGB94990	Oscillibacter_sp_CU971	Oscillospiraceae_bacterium	Oscillospiraceae_unclassified_SGB102175	Oscillospiraceae_unclassified_SGB43526	Parabacteroides_SGB1950	Parabacteroides_goldsteinii	Paramuribaculum_intestinale	Parasutterella_muris	Parvibacter_caecicola	Pseudoflavonifractor_sp_524_17	Sangeribacter_muris	Schaedlerella_arabinosiphila	Thomasclavelia_cocleata	Turicibacter_sp_1E2	Turicimonas_muris	bacterium_1xD42_67
SLC_SMT_NEG_143I	NA	NA	NA	NA	NA	NA	-6.52602561923822	NA	-6.54267855822462	-3.85978523002504	NA	NA	NA	-6.19240140320894	NA	NA	NA	NA	NA	-6.43411155909294	NA	-6.75852422703779	-5.27748733476548	-4.61309378751622	NA	NA	NA	NA	NA	NA	NA	NA	-5.62355704592373	NA	NA	NA	-2.88419184839411	NA	NA	-5.25496258705105	NA	NA	NA	NA	NA	NA	-6.94379679065832	-4.65205314749623	-6.49045166922335	NA	NA	NA	NA	NA	NA	-6.06293650557453	-6.63023853212359	-6.61345645595476	NA	-6.40211723019447	-4.63129392206396	NA	-6.55882732631705	NA	-6.67818044754257	-5.35655587025816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.49579066471272	NA	NA	NA	NA	NA	NA	-5.9551282630143	NA	NA	NA	-4.61649738853705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.87304918700963	-5.97153846043666	NA	-6.12738207051659	NA	NA	-4.95076827786408	NA	NA	-6.61073866229533	-4.06709064677508	-4.59695699839738	-2.94730689515081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.96261681467785	NA	NA	-6.18928937518485	NA
SLC_SMT_NEG_16I	NA	-8.52491674723053	NA	NA	NA	NA	NA	NA	-5.65840038856264	-4.1525895062362	NA	NA	NA	NA	-8.5854196295341	NA	NA	NA	-8.32307854139085	NA	NA	-3.31623734208753	NA	-6.46309193590369	NA	NA	NA	NA	NA	NA	NA	-6.89347119692374	NA	NA	NA	-8.70813115296529	-1.60041669031627	NA	NA	-5.82650537305494	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.15748053967559	-7.75271985359563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.43639024638829	-4.24833203799642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.9660642685395	NA	NA	NA	NA	NA	NA	NA	NA	-7.43860219823978	NA	NA	NA	NA	NA	NA	-8.51540521779766	NA	NA	NA	-8.44122070304679	NA	NA	NA	NA	NA	-8.13981354562874	NA	NA	NA	NA	NA	NA	NA	-8.40629848846806	NA	NA	-6.66739258953071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.5915969295077	NA	-4.1792002853934	NA	NA	NA	NA	-8.31616031248968	NA	-8.97956701739008	-9.46507192514923	NA	NA	NA	-1.88066180260504	NA	NA	NA	NA	NA	NA	-8.64733044087335	NA	NA	NA	NA	NA	NA	-7.9197288879764	NA	NA	NA	NA	-8.7874100124727	NA	NA	NA
SLC_SMT_NEG_89I	NA	NA	NA	NA	-8.90606364474367	-9.35069063453457	-5.98327603602517	-8.45234881492441	-6.05843604413416	-4.85272429124787	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.3828583983514	NA	-7.12812047779959	NA	-9.13032690803815	-9.51582325217035	NA	NA	-8.44737797420223	NA	NA	NA	-10.0859310393297	NA	NA	NA	NA	-2.14641156776417	NA	NA	-7.55581253727794	NA	NA	-6.19485319979318	NA	NA	NA	-8.44457592618022	-5.77338751966557	-8.70464895617389	-9.83943022666766	NA	NA	NA	NA	NA	-10.0074925449792	-10.1275009769312	NA	NA	-8.61617521543232	-8.65140506627707	-10.6924944674444	NA	-2.51356032994265	-10.7650333289456	-2.51141548114585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.42592712024329	-9.96857758739363	-10.727172573895	NA	-10.2427189473705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5800495708981	NA	-6.65393396525632	NA	NA	-9.90576717009642	NA	-10.8650428423417	-5.77107924313936	-9.95001616262161	NA	NA	NA	-9.10163438041792	NA	-7.71067849822775	-9.69616425479147	NA	NA	NA	NA	NA	NA	-9.38816357007604	-6.91722565507462	NA	-7.05653560788983	NA	-9.72507867651602	NA	-11.3535855181097	-10.4194936080642	-10.0490133623561	-10.7357543360133	-10.5895420607261	-8.34020337798277	-5.66613267894589	-5.6641515829424	-2.5898124227273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.89884208259484	-10.6412513042239	-9.0441652444203	NA	NA	NA	NA	NA	-10.6407578220776	NA
SLC_SMT_NEG_194I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.75207870402702	NA	NA	NA	NA	NA	-1.24278761539109	NA	-3.16028818035098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.79373972091065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.67914493977786	NA	-2.0324225516172	-3.28209389783241	NA	NA	NA	-5.28399123541182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC_SMT_NEG_142I	NA	NA	NA	NA	NA	-8.38242465153979	-5.97059787073521	-7.97767434052161	-6.46730796906159	-2.71099618974036	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.23449070222735	NA	-7.02844613969443	NA	-4.07965121134825	NA	NA	NA	-7.3019689931544	NA	NA	NA	NA	NA	NA	NA	NA	-1.93935134460237	NA	NA	-6.59954795530569	NA	NA	NA	NA	NA	NA	-7.93707872182398	-4.82462146062309	-7.58393575627108	-7.87134212935576	NA	NA	NA	NA	NA	-6.8763469978461	-7.84759141700104	-7.83914272196717	NA	-7.88188983589349	-6.27647871340143	NA	NA	NA	-7.99277537628523	-5.30086643670724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.58041096819746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.75679288621008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.39116716520495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.613240559906	NA	NA	NA	NA	NA	NA	NA	-8.99615273648755	-8.67934325610976	NA	-7.89776967553213	NA	-6.25524765663328	NA	NA	-7.12465814283338	NA	NA	-7.40981331965391	NA	NA	-7.93942471465209	-6.05466490381769	-7.21621455910182	-2.05113267475564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.224003145703	NA	NA	-6.58831848748403	NA	NA	-6.94630418703699	NA
SLC_SMT_NEG_15I	NA	NA	NA	NA	NA	NA	NA	NA	-6.53370591236546	-2.42302572994621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.90711974316081	-5.50638604450975	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.58824305356822	NA	NA	NA	NA	-2.75231829728218	NA	NA	-3.49392295598601	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.8817764829519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.39350772997006	-6.34445373054156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.24046837873897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.73639733033456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.55095565674083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.88350023855075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.96345010700142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.68910427571776	NA	NA	-6.62612207123672	NA	NA	NA	NA	NA	NA	NA	NA
SLC_SMT_NEG_91I	-12.4833295099019	-12.2122941118333	-12.0096443408173	NA	-6.63851269974765	-9.49975182014728	-8.02177877360853	-11.1667128673025	-6.69472374879388	-4.53153977716573	NA	-11.9976300503098	NA	NA	NA	-11.3935109017033	-12.3672488420421	NA	-11.6614156404778	-7.69392215244743	NA	-3.5384475681733	NA	-8.72545259933504	-11.0703080596238	-11.5819490399493	NA	-9.30797168540425	NA	-5.84591544709802	-11.7260641001522	-6.37656105656861	-8.77806924100946	NA	NA	-11.7995431153838	-2.65457142165977	-11.5176656845952	-12.1567857354891	-7.94175333171947	NA	-11.3833838974774	-5.40840962725318	-11.9358193918799	-8.87780235230803	NA	-8.86759431612062	-5.59032169228775	-8.47339661093861	-6.88508137365646	NA	-13.4708714731162	-13.3580814121657	-11.82794065411	NA	-5.2260442394388	-7.31045625063038	-11.121207198002	-10.7847016590278	-9.63508521250365	-5.07352323079501	-10.6183380976818	NA	-3.92385784234844	-9.3074084076847	-3.91301970221859	-10.8833182892503	-12.7568782704373	NA	NA	NA	NA	NA	NA	NA	NA	-11.5817219869049	NA	NA	NA	NA	NA	NA	-11.9135029216228	NA	NA	-11.8780811339593	-12.0502208776752	NA	NA	-11.8555353233515	-7.28115636052379	-10.6197942770662	-11.8073532924994	-11.657701520894	-10.7271309270433	NA	-11.3901273289728	-12.1192286444929	-10.7676850253939	-10.4430218649559	-11.6641774696071	NA	-12.1823782060456	-10.0607040795061	-12.4170156087242	-11.6743093048646	NA	-7.72695045235482	NA	NA	-10.0506136080548	NA	-12.2098357701269	-8.17114694740068	-10.0231847496763	-11.8443250903765	-12.6128179818433	NA	-5.55379554861515	-10.7808521210989	-9.93212416614049	-4.60742814153615	-13.6061061455319	-12.3507118019002	-12.6561468280315	-10.6067412743297	-11.6658611752477	-13.6354975541469	-6.15292247412133	-7.40181054825213	NA	-7.94590248201929	NA	-10.3189051728585	NA	-8.69641661824373	-8.86557171281665	-5.02836786532212	-10.6635165510586	-9.48563758899882	-7.09424215552114	-6.2617875025242	-5.18858449752246	-2.68194469411805	-11.2793832014063	-11.4987869142764	NA	NA	-11.9460120718284	-12.0302546204926	-11.3665641499863	-10.6287382608674	-11.7777928735485	NA	NA	NA	-6.22086514801484	-10.2903332379509	-10.5977026318068	NA	-10.1910542147567	NA	-12.090032869745	-12.4631133385114	-9.41668651816324	-11.7919063071554
SLC_SMT_NEG_197I	NA	NA	NA	NA	NA	-10.3369406205873	-8.17317089706598	-10.0917969660588	-9.84907867768625	-5.97523088552713	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.72416508008175	NA	-5.37651831757893	NA	-11.2792837724471	-12.0205844550944	NA	NA	-9.71310560579701	NA	-8.47281105594755	NA	-9.3482847195983	-10.2517668868615	NA	NA	NA	-0.939887198653325	NA	NA	-8.04686762315838	NA	NA	-5.81116475319134	NA	-9.97971018558237	-10.9040673785305	-10.5902371208633	-6.04848239336206	-10.1489975221937	-9.75031736793771	NA	NA	NA	NA	NA	-7.81776356127577	-8.60770602957238	NA	NA	-10.1098555790424	-7.88341257515101	-11.2824805276679	NA	-6.74406979410028	-11.1120340901704	-4.47690973237663	NA	NA	-11.3533179670836	NA	NA	NA	-11.4193441334473	NA	NA	NA	NA	NA	NA	NA	-9.9095762085072	NA	NA	-10.5337856409196	NA	NA	NA	NA	NA	NA	NA	-9.10272741470658	-11.0095944655283	NA	NA	NA	-10.2627738778947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.95871876016453	-10.8248732629946	NA	NA	NA	NA	-9.98542932771666	NA	NA	NA	NA	-6.7360767497212	-11.2253801204374	NA	-5.35895222726596	NA	NA	NA	NA	NA	NA	-7.66669996031123	-8.46147482211965	NA	-6.40348717783673	NA	NA	NA	NA	-11.0175627308708	-8.29337591519697	-11.2794966692291	-10.3023519345971	-8.57274889869867	-7.18604714396079	-5.64163148427605	-2.29441167299099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.34641570850421	NA	NA	NA	-10.4683750758722	NA	NA	NA	-7.28489610805679	-10.6829416521067
SLC_SMT_NEG_141I	NA	NA	NA	NA	NA	-10.7956287880645	-7.91706176606365	-6.80195429952596	-7.12464966567204	-2.26519145202098	NA	NA	NA	-7.07536166280119	NA	NA	NA	NA	NA	-10.6807576177196	NA	NA	-4.73742298194922	-2.82447313930333	-10.3231282796052	NA	NA	-9.36889910006919	NA	NA	NA	NA	-7.73448283633413	-10.1013390394804	-8.29494735306002	NA	-2.48481023099695	NA	NA	-5.17866602279688	NA	NA	NA	NA	NA	NA	-10.5773104323983	-8.48298085226308	-8.40445633468342	NA	NA	NA	NA	NA	NA	-10.4289577530773	-9.72469135115389	-9.16624972668543	-10.0770790110673	-10.2703905499748	-7.89363424393587	-8.862492943453	-7.82511316940149	NA	NA	-5.01670582717246	-9.5856678491999	-10.8135128265714	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.98968837207811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.99396919774699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7986615725341	-7.24464127063363	NA	-10.904020705975	NA	NA	NA	NA	NA	NA	NA	-10.6417485649652	-8.32914536760264	-10.9945486631686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.8044414865965	NA	NA	NA	NA	-11.1106055788488	-9.89133925849911	-9.86069585102828	-10.283218349444	-8.61361374929414	-3.69635149511943	-5.01956313119344	-2.63936215966926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.79250159414929	NA	NA	-10.3149995809409	NA	NA	NA	-6.64305397110809	NA
SLC_SMT_NEG_18I	NA	-9.32588572207561	NA	NA	NA	NA	NA	NA	-7.5528864364686	-3.45577133180875	NA	NA	NA	NA	NA	NA	NA	NA	-9.33455347536336	NA	NA	-5.33701077271688	NA	-9.53049124876587	-10.6826377848707	-9.10713291697644	NA	NA	NA	NA	NA	-7.6121020870668	NA	NA	NA	NA	-1.59238098260245	NA	NA	-5.87592706690542	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.70223851952656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.36761176394266	-5.21828696886545	NA	NA	-9.66047176148388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.08855073702614	NA	-8.69147672208056	NA	NA	-9.00777144264837	-8.53621953631297	NA	NA	-8.10534629750242	NA	NA	NA	NA	NA	NA	-9.35335107081749	NA	NA	NA	-8.9463281102615	NA	NA	NA	NA	NA	-8.476467003231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.32081360949194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.58345736406158	NA	-4.06666128744059	NA	NA	-8.62115612504555	NA	NA	NA	-9.75793323106034	NA	NA	NA	NA	-1.36735697154358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.3190206743452	NA	NA	NA	NA	-8.80366727471957	NA	NA	NA
